Dep Type,Remedy Type/Bmark+loop,470.lbm,179.art,doitgen,blackscholes,gemm,dijkstra-dynsize,052.alvinn,correlation,3mm,2mm,covariance,swaptions,enc-md5
waw,mem-ver-remedy,0/0,0/76,0/0,0/3,0/0,0/84,0/14,0/4,0/0,0/0,0/1,0/540,0/14
waw,priv-remedy,0/0,12/17,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
waw,loaded-value-pred-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
waw,ctrl-spec-remedy,0/0,17/38,0/0,1/2,0/0,19/28,0/0,0/0,0/0,0/0,0/0,0/0,0/1
waw,counted-iv-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
waw,txio-remedy,0/0,21/21,0/0,1/1,0/0,25/25,0/0,0/0,0/0,0/0,0/0,0/0,0/0
waw,locality-readonly-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
waw,locality-redux-remedy,0/0,0/0,0/0,0/0,0/0,0/0,8/8,0/0,0/0,0/0,0/0,0/0,0/0
waw,locality-local-remedy,0/0,0/0,0/0,0/0,0/0,17/35,0/0,0/0,0/0,0/0,0/0,540/540,0/0
waw,locality-private-remedy,0/0,1/39,0/0,0/1,0/0,0/23,3/6,0/4,0/0,0/0,0/1,0/0,0/0
waw,locality-separated-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
waw,locality-subheaps-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
waw,locality-aa-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
waw,redux-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1
waw,mem-spec-aa-remedy,0/0,0/76,0/0,0/3,0/0,0/68,0/14,0/4,0/0,0/0,0/1,0/540,0/3
waw,smtx-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
waw,loop-fission-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
waw,ptr-residue-remedy,0/0,0/0,0/0,0/0,0/0,0/4,0/0,0/0,0/0,0/0,0/0,0/0,0/0
waw,header-phi-pred-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
waw,replicable-stage-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
war,smtx-lamp-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/4
war,comm-libs-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
war,mem-ver-remedy,0/0,37/60,0/0,0/1,0/0,39/65,23/23,0/0,0/0,0/0,0/0,780/780,132/132
war,priv-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
war,loaded-value-pred-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
war,ctrl-spec-remedy,0/0,0/36,0/0,0/1,0/0,0/12,0/0,0/0,0/0,0/0,0/0,0/0,0/0
war,counted-iv-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
war,txio-remedy,0/0,23/23,0/0,1/1,0/0,26/26,0/0,0/0,0/0,0/0,0/0,0/0,0/0
war,locality-readonly-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
war,locality-redux-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/5,0/0,0/0,0/0,0/0,0/0,0/0
war,locality-local-remedy,0/0,0/0,0/0,0/0,0/0,0/20,0/0,0/0,0/0,0/0,0/0,0/780,0/0
war,locality-private-remedy,0/0,0/23,0/0,0/0,0/0,0/17,0/11,0/0,0/0,0/0,0/0,0/0,0/0
war,locality-separated-remedy,0/0,0/3,0/0,0/0,0/0,0/0,0/6,0/0,0/0,0/0,0/0,0/0,0/0
war,locality-subheaps-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/1,0/0,0/0,0/0,0/0,0/0,0/0
war,locality-aa-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
war,redux-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
war,mem-spec-aa-remedy,0/0,0/60,0/0,0/1,0/0,0/48,0/23,0/0,0/0,0/0,0/0,0/780,0/2
war,smtx-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
war,loop-fission-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
war,ptr-residue-remedy,0/0,0/1,0/0,0/0,0/0,0/7,0/0,0/0,0/0,0/0,0/0,0/0,0/0
war,header-phi-pred-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
war,replicable-stage-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
reg,smtx-lamp-remedy,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
