Benchmarks,Edge,Loop,LAMP,SLAMP,SpecPriv,Estimated Speedup,Worker Count,Exec Time Coverage,Loop Info,Average Sequential Time,Average Parallel Time,Real Speedup
052.alvinn,y,y,y,y,y,5.11,22,91.30%," X main :: for.cond2.i(filename:backprop.c, line:200, col:5):covered (8/10) = 80.00 LC Deps;counts for (49/173) = 28.30%
 X main :: for.cond4.i(filename:backprop.c, line:117, col:5):covered (10/13) = 76.92 LC Deps;counts for (73/173) = 42.20%
 X main :: for.cond.i1(filename:backprop.c, line:113, col:3):speedup = 3.20x;covered (17/19) = 89.47 LC Deps;counts for (80/173) = 46.20%
 X main :: for.cond(filename:backprop.c, line:268, col:4):covered (170/176) = 96.59 LC Deps;counts for (164/173) = 94.80%
 X main :: for.cond.i67(filename:backprop.c, line:197, col:3):speedup = 2.02x;covered (13/15) = 86.67 LC Deps;counts for (51/173) = 29.50%
 - main :: for.cond11(filename:backprop.c, line:270, col:6):speedup = 8.38x;covered (121/122) = 99.18 LC Deps;counts for (158/173) = 91.30%
 X main :: for.cond.i11(filename:backprop.c, line:141, col:3):speedup = 4.09x;covered (17/19) = 89.47 LC Deps;counts for (19/173) = 11.00%
",1482.108,-,-
3mm,y,y,y,y,y,17.29,22,99.90%," X kernel_3mm :: for.cond37(filename:3mm.c, line:84, col:7):covered (8/10) = 80.00 LC Deps;counts for (116/377) = 30.80%
 X kernel_3mm :: for.cond66(filename:3mm.c, line:89, col:5):speedup = 6.76x;covered (12/13) = 92.31 LC Deps;counts for (123/377) = 32.60%
 - kernel_3mm :: for.cond27(filename:3mm.c, line:80, col:3):speedup = 18.06x;covered (16/17) = 94.12 LC Deps;counts for (123/377) = 32.60%
 X kernel_3mm :: for.cond30(filename:3mm.c, line:81, col:5):speedup = 6.31x;covered (12/13) = 92.31 LC Deps;counts for (123/377) = 32.60%
 X kernel_3mm :: for.cond6(filename:3mm.c, line:76, col:7):covered (8/10) = 80.00 LC Deps;counts for (127/377) = 33.70%
 - kernel_3mm :: for.cond(filename:3mm.c, line:72, col:3):speedup = 18.22x;covered (16/17) = 94.12 LC Deps;counts for (131/377) = 34.70%
 X kernel_3mm :: for.cond1(filename:3mm.c, line:73, col:5):speedup = 7.00x;covered (12/13) = 92.31 LC Deps;counts for (131/377) = 34.70%
 X kernel_3mm :: for.cond73(filename:3mm.c, line:92, col:7):covered (8/10) = 80.00 LC Deps;counts for (122/377) = 32.40%
 - kernel_3mm :: for.cond63(filename:3mm.c, line:88, col:3):speedup = 15.75x;covered (16/17) = 94.12 LC Deps;counts for (123/377) = 32.60%
",3515.775,-,-
covariance,y,y,y,y,y,19.41,22,99.70%," X kernel_covariance :: for.cond43(filename:covariance.c, line:78, col:9):speedup = 3.56x;covered (9/12) = 75.00 LC Deps;counts for (1450/1462) = 99.20%
 - kernel_covariance :: for.cond33(filename:covariance.c, line:74, col:3):speedup = 20.72x;covered (20/21) = 95.24 LC Deps;counts for (1457/1462) = 99.70%
 X kernel_covariance :: for.cond36(filename:covariance.c, line:75, col:5):speedup = 17.87x;covered (18/19) = 94.74 LC Deps;counts for (1457/1462) = 99.70%
",895.818,-,-
doitgen,y,y,y,y,y,11.06,22,95.70%," - kernel_doitgen :: for.cond(filename:doitgen.c, line:60, col:3):speedup = 20.18x;covered (26/27) = 96.30 LC Deps;counts for (490/512) = 95.70%
 X kernel_doitgen :: for.cond4(filename:doitgen.c, line:62, col:7):speedup = 8.33x;covered (12/13) = 92.31 LC Deps;counts for (490/512) = 95.70%
 X kernel_doitgen :: for.cond11(filename:doitgen.c, line:64, col:9):covered (8/10) = 80.00 LC Deps;counts for (452/512) = 88.30%
 X kernel_doitgen :: for.cond1(filename:doitgen.c, line:61, col:5):speedup = 14.29x;covered (22/23) = 95.65 LC Deps;counts for (490/512) = 95.70%
",1034.861,-,-
dijkstra-dynsize,y,y,y,y,y,10.92,22,98.10%," X main :: while.cond.i(filename:dijkstra_large.c, line:138, col:5):covered (158/163) = 96.93 LC Deps;counts for (405/414) = 97.80%
 X main :: for.cond12.i(filename:dijkstra_large.c, line:141, col:7):covered (95/99) = 95.96 LC Deps;counts for (380/414) = 91.80%
 - main :: for.cond15(filename:dijkstra_large.c, line:188, col:3):speedup = 13.57x;covered (442/444) = 99.55 LC Deps;counts for (406/414) = 98.10%
 X main :: while.cond.i19.i(filename:dijkstra_large.c, line:89, col:5):covered (4/5) = 80.00 LC Deps;counts for (253/414) = 61.10%
",112.686,-,-
