Dep Type,Remedy Type/Bmark+loop,052.alvinn,3mm,covariance,doitgen,dijkstra-dynsize
reg,counted-iv-remedy,0/0,0/0,0/0,0/0,0/0
reg,txio-remedy,0/0,0/0,0/0,0/0,0/0
reg,locality-readonly-remedy,0/0,0/0,0/0,0/0,0/0
reg,locality-redux-remedy,0/0,0/0,0/0,0/0,0/0
reg,locality-local-remedy,0/0,0/0,0/0,0/0,0/0
reg,locality-private-remedy,0/0,0/0,0/0,0/0,0/0
reg,locality-separated-remedy,0/0,0/0,0/0,0/0,0/0
reg,locality-subheaps-remedy,0/0,0/0,0/0,0/0,0/0
reg,locality-aa-remedy,0/0,0/0,0/0,0/0,0/0
reg,redux-remedy,1/1,0/0,0/0,0/0,0/0
reg,mem-spec-aa-remedy,0/0,0/0,0/0,0/0,0/0
reg,smtx-remedy,0/0,0/0,0/0,0/0,0/0
reg,loop-fission-remedy,0/0,0/0,0/0,0/0,0/0
reg,ptr-residue-remedy,0/0,0/0,0/0,0/0,0/0
reg,header-phi-pred-remedy,0/0,0/0,0/0,0/0,0/0
reg,replicable-stage-remedy,1/1,1/1,1/1,1/1,2/2
