Benchmarks,Edge,Loop,LAMP,SpecPriv,Estimated Speedup,Worker Count,Exec Time Coverage,Loop Info,Average Sequential Time,Average Parallel Time,Real Speedup
blackscholes,y,y,y,y,17.76,22,99.60%," X bs_thread :: for.cond2(filename:blackscholes.c, line:240, col:9):speedup = 14.56x;covered (29/30) = 96.67 LC Deps;counts for (758/761) = 99.60%
 - bs_thread :: for.cond(filename:blackscholes.c, line:235, col:5):speedup = 19.02x;covered (34/35) = 97.14 LC Deps;counts for (758/761) = 99.60%
",-,186.027,-
052.alvinn,y,y,y,y,5.11,22,91.30%," X main :: for.cond2.i(filename:backprop.c, line:200, col:5):covered (8/10) = 80.00 LC Deps;counts for (49/173) = 28.30%
 - main :: for.cond11(filename:backprop.c, line:270, col:6):speedup = 8.38x;covered (121/122) = 99.18 LC Deps;counts for (158/173) = 91.30%
 X main :: for.cond.i1(filename:backprop.c, line:113, col:3):speedup = 3.20x;covered (17/19) = 89.47 LC Deps;counts for (80/173) = 46.20%
 X main :: for.cond4.i(filename:backprop.c, line:117, col:5):covered (10/13) = 76.92 LC Deps;counts for (73/173) = 42.20%
 X main :: for.cond.i67(filename:backprop.c, line:197, col:3):speedup = 2.02x;covered (13/15) = 86.67 LC Deps;counts for (51/173) = 29.50%
 X main :: for.cond(filename:backprop.c, line:268, col:4):covered (172/180) = 95.56 LC Deps;counts for (164/173) = 94.80%
 X main :: for.cond.i11(filename:backprop.c, line:141, col:3):speedup = 4.09x;covered (17/19) = 89.47 LC Deps;counts for (19/173) = 11.00%
",-,67.193,-
179.art,y,y,y,y,6.01,22,90.30%," - scan_recognize :: for.cond(filename:scanner.c, line:1010, col:5):speedup = 12.99x;covered (420/422) = 99.53 LC Deps;counts for (12661/14020) = 90.30%
 X scan_recognize :: for.cond15(filename:scanner.c, line:1011, col:8):speedup = 12.86x;covered (415/417) = 99.52 LC Deps;counts for (12661/14020) = 90.30%
 X scan_recognize :: for.cond79.i(filename:scanner.c, line:584, col:7):speedup = 10.54x;covered (23/24) = 95.83 LC Deps;counts for (7755/14020) = 55.30%
 X scan_recognize :: for.cond149.i(filename:scanner.c, line:615, col:9):speedup = 9.27x;covered (10/11) = 90.91 LC Deps;counts for (2518/14020) = 18.00%
",-,29.633,-
